10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10
10,11,02,00,00,00,11,11,11,11,11,00,00,11,00,11,11,11,00,11,11,00,11,11,10
10,11,01,11,11,00,00,00,00,00,00,00,11,11,00,00,00,00,00,00,02,00,00,03,10
10,11,01,00,11,00,00,11,11,11,11,11,11,11,11,00,11,11,00,00,01,11,11,01,10
10,11,11,11,00,11,11,11,00,00,00,11,00,00,00,00,00,11,00,00,01,11,11,01,10
10,11,01,00,00,11,00,00,00,11,00,11,00,11,11,11,11,11,00,11,01,11,11,01,10
10,11,01,11,00,11,00,11,11,11,00,00,00,11,00,11,00,11,00,00,04,03,11,01,10
10,11,01,11,00,00,00,00,00,11,00,00,00,00,00,11,00,11,11,11,11,01,11,07,10
10,11,01,00,00,11,00,00,11,11,11,11,00,11,00,11,00,00,11,00,00,01,11,01,10
10,11,11,00,11,11,11,11,11,00,00,11,00,11,00,11,11,00,00,00,11,01,11,01,10
10,11,02,11,00,00,00,00,11,00,00,00,00,11,00,00,11,11,11,11,00,01,11,01,10
10,11,01,00,00,00,11,00,11,00,11,00,00,11,11,02,00,00,00,00,00,05,11,01,10
10,11,01,11,00,00,11,00,11,00,11,11,11,11,11,01,11,11,11,11,11,11,11,01,10
10,11,04,00,03,11,00,00,11,00,00,00,03,11,11,04,03,11,11,11,11,11,11,01,10
10,11,02,00,05,00,11,00,11,11,11,11,04,00,00,00,05,11,11,11,11,11,11,01,10
10,11,01,00,00,00,00,00,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,01,10
10,11,01,11,00,00,11,11,10,11,02,00,00,00,00,00,00,00,00,00,03,11,10,01,10
10,11,01,00,11,11,11,10,10,10,01,11,11,11,11,11,11,11,11,11,01,11,10,01,10
10,11,01,11,11,11,11,11,10,11,01,11,10,10,11,02,00,00,00,00,05,11,10,01,10
10,11,01,00,11,11,11,11,11,11,01,11,10,10,11,01,11,11,11,11,11,11,10,01,10
10,11,04,00,00,00,03,11,11,11,01,11,10,10,11,04,00,00,00,00,03,11,11,01,10
10,11,11,11,11,11,04,00,00,00,05,11,10,10,11,11,11,11,11,11,04,00,00,05,10
10,11,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,11,11,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
